id,barcode,name,price
221,T-SHIRT/SANDO,218000500001,P 120.00
222,T-SHIRT/M.JACKET,218000600001,P 150.00
223,BRIEF P25 (2=50),218000700001,P 25.00
224,M.CYCLE L/S,218000800001,P 250.00
225,SALE T/S 2=150,218000900001,P 150.00
226,T SHIRT/POLO,218001000001,P 200.00
227,M. SHORT,218001100002,P 350.00
228,T-SHIRT,218001200001,P 250.00
229,CARGO SHORT,218001500001,P 280.00
230,"T-SHIRT RN,WC",218001600001,P 280.00
231,T-SHIRT/SANDO,218001800001,P 180.00
232,M. JACKET,218002100001,P 500.00
233,POLO SHIRT,218002200001,P 350.00
234,POLOSHIRT,218002500001,P 380.00
235,M. JACKET,218002700001,P 250.00
236,POLO SHIRT,218002800001,P 300.00
237,MEN'S JACKET,218002900001,P 300.00
238,M. PANTS,218003200001,P 300.00
239,POLO,218003400001,P 350.00
240,M.PANTS,218003700001,P 580.00
241,M.SHORT/M.PANTS,218004100001,P 200.00
242,BOXER/BRIEF,218004800001,P 60.00
243,"BARGAIN T/S, SHORT",218005000001,P 60.00
244,BRIEF (3=100),218005200001,P 100.00
245,M.SHORT,218005300001,P 150.00
246,SALE POLO,218006100001,P 199.00
247,M. PANTS,218006200001,P 400.00
248,K.KNITTED BLOUSE,219000100001,P 75.00
249,K. SKIRT/K.SHORT,219000200001,P 75.00
250,K.POLO/DRESS,219000300002,P 100.00
251,K.JACKET/POLO,219000400001,P 180.00
252,K. SHORT/PANTS,219000400001,P 180.00
253,K. BLOUSE,219000400001,P 180.00
254,K.TERNO/DRESS,219000500001,P 120.00
255,K.TERNO/DRESS,219000900001,P 150.00
256,K.PANTY#C,219001000001,P 100.00
257,K. T/S.BLOUSE,219001100001,P 50.00
258,K.TERNO,219001700001,P 200.00
259,K.TERNO,219002100001,P 250.00
260,K.PANTS/JUMPER,219002100001,P 250.00
261,K. TERNO,219002600001,P 300.00
262,K. PANTS/CARGO,219002700001,P 300.00
263,K. JACKET,219002800001,P 600.00
264,"K. T/S M/S,SANDO",219002900001,P 85.00
265,SWIMSUIT,213009100001,P 350.00
266,P. FRAME,214102100001,P 120.00
267,MAGIC PILLOW,214102100002,P 130.00
268,DRESS,213003800001,P 900.00
269,KEY CHAIN,216000100001,P 100.00
270,REFLECTOR,216003500001,P 60.00
271,NECKLACE,216000000001,P 200.00
272,LEGO NOTEBOOK,216002700001,P 200.00
273,SMILE HOOK,216002900001,P 150.00
274,ASSTD. ACCSRIES.,217000100001,P 10.00
275,L.PANTS/SQ.PANTS,212007500001,P 430.00
276,K.TERNO,219000400001,P 180.00
277,L'TOKONG,212000500001,P 250.00
278,GIRDLE@Q,212004200001,P 200.00
279,HEADREST,214000600001,P 200.00
280,BARNEY XL,214100800001,P 450.00
281,BACKPACK,214001900001,P 450.00
282,JUMPSUIT,213002500001,P 450.00
283,K.BONNET,219001100001,P 50.00
